"","lv","Annotation","cell_type","value","sample","patient","Groups"
"48","2","tumor cells-macrophages (M1>M2)","macrophages (M2>M1)","0.03140096618357488","reg002","1","1"
"49","2","tumor cells-macrophages (M1>M2)","mast cells","0.0","reg002","1","1"
"50","2","tumor cells-macrophages (M1>M2)","nerves","0.00966183574879227","reg002","1","1"
"51","2","tumor cells-macrophages (M1>M2)","neutrophils","0.004830917874396135","reg002","1","1"
"52","2","tumor cells-macrophages (M1>M2)","plasma cells","0.004830917874396135","reg002","1","1"
"53","2","tumor cells-macrophages (M1>M2)","stroma","0.06038647342995169","reg002","1","1"
"54","2","tumor cells-macrophages (M1>M2)","tumor cells","0.3164251207729469","reg002","1","1"
"55","2","tumor cells-macrophages (M1>M2)","tumor cells, intraepithelial","0.0","reg002","1","1"
"56","2","tumor cells-macrophages (M1>M2)","vasculature","0.01932367149758454","reg002","1","1"
"57","3","stroma-macrophages (M1>M2)","B cells","0.008064516129032258","reg002","1","1"
"58","3","stroma-macrophages (M1>M2)","CD4+ T cells","0.008064516129032258","reg002","1","1"
"59","3","stroma-macrophages (M1>M2)","CD8+ T cells","0.0456989247311828","reg002","1","1"
"60","3","stroma-macrophages (M1>M2)","CLA+ leukocytes","0.013440860215053764","reg002","1","1"
"61","3","stroma-macrophages (M1>M2)","Langerhans cells","0.008064516129032258","reg002","1","1"
"62","3","stroma-macrophages (M1>M2)","Tregs","0.05913978494623656","reg002","1","1"
"63","3","stroma-macrophages (M1>M2)","epithelium","0.024193548387096774","reg002","1","1"
"64","3","stroma-macrophages (M1>M2)","lymphatics","0.010752688172043012","reg002","1","1"
"65","3","stroma-macrophages (M1>M2)","macrophages (M1=M2)","0.12903225806451613","reg002","1","1"
"66","3","stroma-macrophages (M1>M2)","macrophages (M1>M2)","0.1989247311827957","reg002","1","1"
"67","3","stroma-macrophages (M1>M2)","macrophages (M2>M1)","0.024193548387096774","reg002","1","1"
"68","3","stroma-macrophages (M1>M2)","mast cells","0.005376344086021506","reg002","1","1"
"69","3","stroma-macrophages (M1>M2)","nerves","0.01881720430107527","reg002","1","1"
"70","3","stroma-macrophages (M1>M2)","neutrophils","0.0","reg002","1","1"
"71","3","stroma-macrophages (M1>M2)","plasma cells","0.005376344086021506","reg002","1","1"
"72","3","stroma-macrophages (M1>M2)","stroma","0.28225806451612906","reg002","1","1"
"73","3","stroma-macrophages (M1>M2)","tumor cells","0.13978494623655913","reg002","1","1"
"74","3","stroma-macrophages (M1>M2)","tumor cells, intraepithelial","0.016129032258064516","reg002","1","1"
"75","3","stroma-macrophages (M1>M2)","vasculature","0.002688172043010753","reg002","1","1"
"76","4","tumor cells-Tregs","B cells","0.00558659217877095","reg002","1","1"
"77","4","tumor cells-Tregs","CD4+ T cells","0.0111731843575419","reg002","1","1"
"78","4","tumor cells-Tregs","CD8+ T cells","0.030726256983240222","reg002","1","1"
"79","4","tumor cells-Tregs","CLA+ leukocytes","0.0","reg002","1","1"
"80","4","tumor cells-Tregs","Langerhans cells","0.0223463687150838","reg002","1","1"
"81","4","tumor cells-Tregs","Tregs","0.22625698324022347","reg002","1","1"
"82","4","tumor cells-Tregs","epithelium","0.002793296089385475","reg002","1","1"
"83","4","tumor cells-Tregs","lymphatics","0.0","reg002","1","1"
"84","4","tumor cells-Tregs","macrophages (M1=M2)","0.16201117318435754","reg002","1","1"
"85","4","tumor cells-Tregs","macrophages (M1>M2)","0.1424581005586592","reg002","1","1"
"86","4","tumor cells-Tregs","macrophages (M2>M1)","0.036312849162011177","reg002","1","1"
"87","4","tumor cells-Tregs","mast cells","0.002793296089385475","reg002","1","1"
"88","4","tumor cells-Tregs","nerves","0.0","reg002","1","1"
"89","4","tumor cells-Tregs","neutrophils","0.00558659217877095","reg002","1","1"
"90","4","tumor cells-Tregs","plasma cells","0.036312849162011177","reg002","1","1"
"91","4","tumor cells-Tregs","stroma","0.036312849162011177","reg002","1","1"
"92","4","tumor cells-Tregs","tumor cells","0.26256983240223464","reg002","1","1"
"93","4","tumor cells-Tregs","tumor cells, intraepithelial","0.0111731843575419","reg002","1","1"
"94","4","tumor cells-Tregs","vasculature","0.00558659217877095","reg002","1","1"
"95","5","plasma cells-tumor cells","B cells","0.004405286343612335","reg002","1","1"
"96","5","plasma cells-tumor cells","CD4+ T cells","0.004405286343612335","reg002","1","1"
"97","5","plasma cells-tumor cells","CD8+ T cells","0.11013215859030837","reg002","1","1"
"98","5","plasma cells-tumor cells","CLA+ leukocytes","0.004405286343612335","reg002","1","1"
"99","5","plasma cells-tumor cells","Langerhans cells","0.0","reg002","1","1"
"100","5","plasma cells-tumor cells","Tregs","0.04405286343612335","reg002","1","1"
"101","5","plasma cells-tumor cells","epithelium","0.00881057268722467","reg002","1","1"
"102","5","plasma cells-tumor cells","lymphatics","0.0","reg002","1","1"
"103","5","plasma cells-tumor cells","macrophages (M1=M2)","0.0881057268722467","reg002","1","1"
"104","5","plasma cells-tumor cells","macrophages (M1>M2)","0.1013215859030837","reg002","1","1"
"105","5","plasma cells-tumor cells","macrophages (M2>M1)","0.01762114537444934","reg002","1","1"
"106","5","plasma cells-tumor cells","mast cells","0.004405286343612335","reg002","1","1"
"107","5","plasma cells-tumor cells","nerves","0.013215859030837005","reg002","1","1"
"108","5","plasma cells-tumor cells","neutrophils","0.004405286343612335","reg002","1","1"
"109","5","plasma cells-tumor cells","plasma cells","0.2290748898678414","reg002","1","1"
"110","5","plasma cells-tumor cells","stroma","0.1277533039647577","reg002","1","1"
"111","5","plasma cells-tumor cells","tumor cells","0.19823788546255505","reg002","1","1"
"112","5","plasma cells-tumor cells","tumor cells, intraepithelial","0.013215859030837005","reg002","1","1"
"113","5","plasma cells-tumor cells","vasculature","0.02643171806167401","reg002","1","1"
"0","0","macrophages (M1>M2)-tumor cells","B cells","0.0","reg003","1","3"
"1","0","macrophages (M1>M2)-tumor cells","CD4+ T cells","0.005025125628140704","reg003","1","3"
"2","0","macrophages (M1>M2)-tumor cells","CD8+ T cells","0.07035175879396985","reg003","1","3"
"3","0","macrophages (M1>M2)-tumor cells","CLA+ leukocytes","0.0","reg003","1","3"
"4","0","macrophages (M1>M2)-tumor cells","Langerhans cells","0.03015075376884422","reg003","1","3"
"5","0","macrophages (M1>M2)-tumor cells","Tregs","0.07537688442211055","reg003","1","3"
"6","0","macrophages (M1>M2)-tumor cells","epithelium","0.0","reg003","1","3"
"7","0","macrophages (M1>M2)-tumor cells","lymphatics","0.01507537688442211","reg003","1","3"
"8","0","macrophages (M1>M2)-tumor cells","macrophages (M1=M2)","0.11055276381909548","reg003","1","3"
"9","0","macrophages (M1>M2)-tumor cells","macrophages (M1>M2)","0.25125628140703515","reg003","1","3"
"10","0","macrophages (M1>M2)-tumor cells","macrophages (M2>M1)","0.02512562814070352","reg003","1","3"
"11","0","macrophages (M1>M2)-tumor cells","mast cells","0.01507537688442211","reg003","1","3"
"12","0","macrophages (M1>M2)-tumor cells","nerves","0.005025125628140704","reg003","1","3"
"13","0","macrophages (M1>M2)-tumor cells","neutrophils","0.005025125628140704","reg003","1","3"
"14","0","macrophages (M1>M2)-tumor cells","plasma cells","0.0","reg003","1","3"
"15","0","macrophages (M1>M2)-tumor cells","stroma","0.15577889447236182","reg003","1","3"
"16","0","macrophages (M1>M2)-tumor cells","tumor cells","0.22613065326633167","reg003","1","3"
"17","0","macrophages (M1>M2)-tumor cells","tumor cells, intraepithelial","0.0","reg003","1","3"
"18","0","macrophages (M1>M2)-tumor cells","vasculature","0.010050251256281407","reg003","1","3"
"19","1","tumor cells-CD8+ T cells","B cells","0.005235602094240838","reg003","1","3"
"20","1","tumor cells-CD8+ T cells","CD4+ T cells","0.02617801047120419","reg003","1","3"
"21","1","tumor cells-CD8+ T cells","CD8+ T cells","0.09947643979057591","reg003","1","3"
"22","1","tumor cells-CD8+ T cells","CLA+ leukocytes","0.0","reg003","1","3"
"23","1","tumor cells-CD8+ T cells","Langerhans cells","0.0","reg003","1","3"
"24","1","tumor cells-CD8+ T cells","Tregs","0.07329842931937172","reg003","1","3"
"25","1","tumor cells-CD8+ T cells","epithelium","0.015706806282722512","reg003","1","3"
"26","1","tumor cells-CD8+ T cells","lymphatics","0.0","reg003","1","3"
"27","1","tumor cells-CD8+ T cells","macrophages (M1=M2)","0.02617801047120419","reg003","1","3"
"28","1","tumor cells-CD8+ T cells","macrophages (M1>M2)","0.05759162303664921","reg003","1","3"
"29","1","tumor cells-CD8+ T cells","macrophages (M2>M1)","0.005235602094240838","reg003","1","3"
"30","1","tumor cells-CD8+ T cells","mast cells","0.005235602094240838","reg003","1","3"
